substituent,canonical_smiles,DV_C,DV_n,examples
PO(OMe)2,COP(=O)(C1=CC=CC=C1)OC,7.053,8.8,397
C≡CC6H5,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,3.601,3.9,393
PO(Et)2,CC(C)P(=O)(C)C1=CC=CC=C1,6.237,7.1,387
CH2SO2CF3,C1=CSC(=C1)C(=CC(C(F)(F)F)O)O,12.324,12.5,385
5-chloro- 1-tetrazolyl,C1=CC=C(C=C1)N2C(=NN=N2)Cl,19.175,18.615,377
OCOCF3,C1=CC(=CC=C1C(=O)O)C(F)(F)F,14.52,12.2,373
SSO2Me,C1C2C=CC=CC1S(=O)S2=O,12.951,14.0,373
SCH=CH2,C=CSC1=CC=CC=C1,6.927,7.5,352
P(isopropyl)2,CCC1CC(P1C2=CC=CC2)CC,6.237,1.8,350
P(Et)2,CC1=C(C2C3CCP2C1C3)C,0.526,1.3,344
CH2SOCF3,CC1=CC=C(C=C1)S(=O)C(F)(F)F,11.445,11.2,339
OCF2CF3,CC(C1=C(C(=C(C(=C1F)F)F)F)F)O,13.83,12.0,330
SiMe(OMe)2,C[Si](C)(C)C#CC(CC#C)O,3.099,2.4,327
C≡CH,C#CC1=CC=CC=C1,5.986,5.7,316
OCHCl2,C1C=CC2C1C(=O)C2(Cl)Cl,11.32,7.4,316
P(O)Me2,CP(CO)C1=CC=CC=C1,6.927,7.8,307
C(OH)(CF3)2,C=CCOC1(C(C(=C(C(=C1F)F)F)F)F)F,8.998,9.3,305
SMe,CSC1=CC=CC=C1,1.719,-1.5,303
SC6H5,C1=CC=C(C=C1)SC2=CC3C4C3C42,5.986,5.9,301
P(CMe3)2,C1CC2CC1CC2PC3CC4CCC3C4,4.103,1.5,282
PO(isopropyl)2,CC(C)(C)P(C)C1=CC=CC=C1OC,5.484,6.5,277
N(CF3)2,C1=C(C=C(C(=C1F)C(C(F)(F)F)N)F)F,14.959,15.2,269
CH=NSO2CF3,C1=CC=C(C=C1)C=NS(=O)(=O)C(F)(F)F,20.732,23.7,267
OCHF2,C1=CC=C(C=C1)OC(F)F,11.069,7.5,258
OCH2F,COC1=CC=C(C=C1)F,4.543,1.4,252
PO(C6H4-4Me)2,CC(C1=CC=CC=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,8.559,5.2,237
CH2CF3,CC1=CC=C(C=C1)C(F)(F)F,1.091,5.7,234
COCF3,C1=CC=C(C=C1)C(=O)C(F)(F)F,18.285,19.6,233
OC6H4-4F,C1=CC=C(C=C1)OC2=CC=C(C=C2)F,1.593,0.8,230
SO2CF3,C1=CC=C(C=C1)S(=O)(=O)C(F)(F)F,23.242,24.8,207
SH,C1=CC=C(C=C1)S,2.597,1.5,206
N=C=O,C1=CC=C(C=C1)N=C=O,9.437,7.1,204
OSO2CF3,C1=CC=C(C=C1)OS(=O)(=O)C(F)(F)F,15.963,14.0,199
CH2Cl,C1=CC=C(C=C1)CCl,4.041,2.7,198
PO(C6H5)C6H4-4Me,C1=CC=C(C=C1)C(O)P(C2=CC=CC=C2)C3=CC=CC=C3,5.045,6.1,193
SiMe3,C[Si](C)(C)C1=CC=CC=C1,-1.733,-0.9,193
OCCl3,COC1=C(C=C(C=C1Cl)Cl)Cl,12.637,11.1,189
SO2CHF2,C1=CC=C(C=C1)S(=O)(=O)C(F)F,21.736,23.0,187
N=NCF3,C1=C(C=C(C(=C1F)C=NN)F)F,16.779,19.3,185
SO2Cl,C1=CC=C(C=C1)S(=O)(=O)Cl,24.246,25.2,185
OCF3,C1=CC=C(C=C1)OC(F)(F)F,12.01,8.3,183
SCH =CH2,C=CSC1=CC=CC=C1,3.852,4.1,179
SCN,C1=CC=C2C(=C1)N=CS2,16.779,17.1,179
PO(C4H9)2,CCCC1OP1C2(C(=C(C(=C2C)C)C)C)C,6.174,7.1,177
SOCF3,C1=CC=C(C=C1)S(=O)C(F)(F)F,17.093,17.1,177
Si(Me)2OMe,C[Si](C)(C)C#CC(CC#C)O,1.217,0.9,176
OSiMe3,C[Si](C)(C)C#CC(CC#C)O,-0.666,-4.2,175
CH2Br,C1=CC=C(C=C1)CBr,5.735,2.9,171
NC,C1=CC=C(C=C1)C#N,15.336,14.3,168
PMe2,CP(C)C1=CC=CC=C1,4.982,0.7,166
Si(OMe)3,CO[Si](C1=CC=CC=C1)(OC)OC,3.162,2.4,152
CF2CF3,C1=CC=C(C=C1)C(C(F)(F)F)(F)F,13.955,14.7,151
CH2SCF3,C1=CC=C(C=C1)CSC(F)(F)F,8.245,8.1,150
C(NO2)3,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],23.556,25.1,147
CHCl2,CC1=C(C=C(C=C1)Cl)Cl,9.814,10.0,140
CF2CF2C6H4-4F,C1=CC=C(C=C1)C(C(C2=CC=C(C=C2)F)(F)F)(F)F,11.571,12.3,139
SOCHF2,CS(=O)C1=C(C=C(C=C1)F)F,16.842,16.2,139
Si(C6H5)Me2,C[Si](C)(C1=CC=CC=C1)C2=CC=CC=C2,-1.733,-0.7,136
C6H4-3Br,C1=CC=C(C=C1)C2=CC=C(C=C2)Br,4.794,3.7,135
P(N(Me)2)2,CN(C)P(C1=CC=CC=C1)N(C)C,-2.046,-1.9,134
C(CN)3,C1=CC=C(C=C1)C(C#N)(C#N)C#N,23.556,23.0,133
SiH(Me)2,C[SiH](C)C1=CC=CC=C1,-0.603,0.3,133
SCH=CHCl,C1=CC=C(C=C1)SC=CCl,3.79,3.8,131
C6H4-3Cl,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,4.166,3.6,125
N=CCl2,C1=CC=C(C=C1)N=C(Cl)Cl,7.68,5.9,125
SiMe(C6H5)2,C[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-1.042,0.2,125
SCF2CHF2,C1=CC=C(C=C1)SC(C(F)F)(F)F,9.876,10.7,123
C6Cl5,C1=CC=C(C=C1)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,7.555,7.4,117
PO(C6H5)2,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,5.86,6.9,115
CH2F,CC1=CC=C(C=C1)F,4.919,1.8,114
SC=CH,C1=CC=C2C(=C1)C=CS2,6.553,4.078,110
CF2CF2CF3,C1C(=CF)C2(C=CC1(C(C2(F)F)(F)F)F)F,14.645,15.3,109
COF,C1=CC(=CC=C1C=O)F,15.775,18.4,109
SCHF2,C1=CC=C(C=C1)SC(F)F,8.308,9.1,109
cyclohexyl,CC1CCC1[CH2],-2.799,-3.8,108
"C6H2-2,4,6(NO2)3",C1C2=C(C(C(=C(O2)N)C#N)C3=CC=C(O3)[N+](=O)[O-])C(=O)O1,16.34,16.2,101
CH2PO(C6H5)2,C1=CC=C(C=C1)CP(=O)(C2=CC=CC=C2)C3=CC=CC=C3,-2.109,-2.5,99
P(C6H5)2,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,1.279,1.7,99
CF3,C1=CC=C(C=C1)C(F)(F)F,13.641,13.7,96
SOF,C1=CC=C(C=C1)S(=O)F,18.16,18.8,93
N=C=S,C1=CC=C2C(=C1)N=CS2,11.696,10.0,92
CHBr2,C1=CC(=CC=C1CBr)Br,9.688,9.9,91
PO(CMe3)2,CC(C)(C)P(=O)(C1=CC=CC=C1)C(C)(C)C,4.292,5.5,91
SCOCF3,C1=CSC(=C1)C=CC(=O)C(F)(F)F,14.834,15.5,91
CHF2,C1=CC=C(C=C1)C(F)F,12.575,10.4,90
SiH3,C1=CC=C(C=C1)[SiH3],4.794,3.5,90
SCH2F,C1=CC=C(C=C1)SCF,6.739,6.2,87
Cl,C1=CC=C(C=C1)Cl,9.312,7.0,86
