text,DV_C,DV_n
[C][O][C][=C][C][C][C][=C][N][C][Ring1][=Branch1][C][=C][Ring1][#Branch2][O][C],0.5264808899994641,-3.2
[C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][Ring2][O][Ring1][Branch2][C][=N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],13.20218289000002,14.4
[C][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][C][C][=Branch1][C][=O][O][C],0.5264808899994641,-3.2
[C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][Branch1].[C][Branch1][Ring1][C][O][N][=N+1][=N-1],4.542544890000136,3.8
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][=O],1.3422438899997922,-2.4
[C][=C][C][C][Branch1][Ring1][C][=C][C][=C][C][=C],-2.109061109999967,-3.0
[C][=C][C][C][=C][Branch1][Branch2][C][C][C][C][O][Ring1][Ring1][C][=Branch1][C][=O][O],-0.0382781100003343,0.3
[C][C][=Branch1][C][=C][C][C][=C][C][C][C][=C][Ring1][=Branch1],-2.109061109999967,-3.0
[C].[C].[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.670933500000362,-4.760918370000564
[C][C][=Branch1][C][=C][C][=C][N][C][=Branch1][C][=O][C][=C][Ring1][#Branch1],7.491841889999951,6.7
[C][C][C][C][C][Ring1][Branch1][C][C][=C][C][Ring1][=Branch1][Branch1][O][C][=C][C][=C][C][=C][Ring1][=N][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#C][=C][C][=C][Ring2][Ring1][Ring1],-1.329066180000737,-1.5104165699998908
[C][C][=C][C][=C][=C][C][C][=C][Ring1][Branch2],-0.1637801100000418,-0.5
[C][C][C][C][C][C][Branch1][Branch1][C][=C][Ring1][Branch1][C][=C][Ring1][#Branch1],-2.109061109999967,-3.0
[C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][Ring2][O][Ring1][#Branch2][C][Branch1][C][F][Branch1][C][F][F],12.613578509999115,12.304216079999904
[C][C][O][C][=C][Branch1][#Branch1][C][Ring1][=Branch1][C][C][=O][N][=C][C][=C][Ring1][#Branch2],9.562624889999585,9.0
[C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][C][=Branch1][Branch1][=C][N][Ring1][Branch2][C][C][O],9.562624889999585,9.0
[C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=Branch1][=C][=C][C][=C][Branch1][Branch2][O][C][Ring1][Branch1][=N][Ring1][N][C][C],-1.98355911000026,-3.8
[C][C][C][Branch1][C][C][C][=N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][C][C],-1.418800110000461,-2.4
[C][C][=C][Branch1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=O][N][=O],16.40248388999925,17.8
[C][#C][C][N][C][=Branch1][C][=O][C][N][C][Ring1][=Branch1][=O],12.825676889999782,11.0
[C][C][C][C][C][Ring1][Ring1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2],-2.6876253300005803,-3.3835339200003185
[C][C][O][C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][O],4.668046889999844,4.9
[C][C][C][=Branch1][Ring2][=C][C][#N][C][Ring1][#Branch1][C][#N],10.566640889999473,5.9
[C][C][=C][C][=Branch1][P][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][O][Ring1][Branch2][C],4.668046889999844,4.9
[C][C][C][=C][Branch1][Ring2][C][Ring1][Branch1][N][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],-0.1637801100000418,-3.4
