cid,substituent,canonical_smiles,DV_C,DV_n
7672,OCN,C1=CC=C(C=C1)N=C=O,18.034009889999904,14.2
7673,SCN ,C1=CC=C(C=C1)N=C=S,16.778989889999487,17.1
7674,CH(OH)Me ,CCOC1=CC=CC=C1,3.4130268899994247,1.0
7678,COEt ,CC(=O)CC1=CC=CC=C1,6.927082890000152,8.9
7680,CH2CONH2,C1=CC=C(C=C1)CC(=O)N,7.491841889999951,6.7
7681,CH2NMe2,CN(C)CC1=CC=CC=C1,-2.109061109999967,-2.6
7684,CH2NHCOMe,CC1=CC=C(C=C1)NC(=O)C,3.852283889999516,2.5
7694,NH(CH2)3CH3,CCCCC1=CC=C(C=C1)N,-5.685868110000548,-11.6
7702,CH2C(OH)(Me)2,CCCC1=CC=C(C=C1)OC,-3.2385791100006784,-3.7
7703,COCHMe2 ,CC=CC1=CC=C(C=C1)OC,6.801580889999331,8.9
7705,CH2CH(me)2,CCCCC1=CC=CC=C1,-2.109061109999967,-3.0
7707,COEt ,C1=CC=C(C=C1)CCC=O,6.927082890000152,8.9
7708,COOMe ,C1=CC=C(C=C1)COC=O,6.04856888999997,8.2
7711,COOEt ,C1=CC=C(C=C1)CCOC=O,5.35830788999935,7.5
7715,C(OMe)3,C1=CC=C(C=C1)OCCOCCO,-0.0382781100003343,0.3
7723,CHCl2,C1=CC(=CC=C1CCl)Cl,9.813628890000112,10.0
7724,CH2CN ,CC1=CC=C(C=C1)C#N,7.868347890000188,6.7
7725,COMe ,CC1=CC=C(C=C1)C=O,7.680094889999512,9.7
7728,NHEt ,CCC1=CN=C(C=C1)C,-5.497615109999872,-11.4
7729,NO2 ,C1=CC(=CC=C1N=O)O,19.91653988999997,21.2
7731,CH(OH)Me ,CC1=CC=C(C=C1)OC,3.4130268899994247,1.0
7734,CH2CH(me)2,CCC1=CC=C(C=C1)CC,-2.109061109999967,-3.0
7737,NHNO2,C1=CC(=CC=C1NO)N=O,12.825676889999782,11.0
7771,CH(OH)Me ,CC1=CC(=C(C=C1)O)C,3.4130268899994247,1.0
7805,CH2Br ,CC1=CC=C(C=C1)Br,5.734813889999587,2.9
7809,Et ,CC1=CC=C(C=C1)C,-2.7993221100005874,-4.0
7810,CH2Cl                                        ,CC1=CC=C(C=C1)Cl,4.040536890000192,2.7
7811,SMe ,CC1=CC=C(C=C1)S,1.7187498900000295,-1.5
7813,CH2NH2,CC1=CC=C(C=C1)N,-2.9875751100001486,-3.5
7814,NHNH2 ,C1=CC(=CC=C1N)N,-5.874121110000109,-11.2
7815,SCl,C1=CC(=CC=C1S)Cl,13.64143989000011,15.9
7929,Et ,CC1=CC(=CC=C1)C,-2.7993221100005874,-4.0
7930,SMe ,CC1=CC(=CC=C1)S,1.7187498900000295,-1.5
7931,CH2Cl                                        ,CC1=CC(=CC=C1)Cl,4.040536890000192,2.7
7934,CH2NH2,CC1=CC(=CC=C1)N,-2.9875751100001486,-3.5
7935,NHNH2 ,C1=CC(=CC(=C1)N)N,-5.874121110000109,-11.2
7936,CH2NH2,CC1=CC(=NC=C1)C,-2.9875751100001486,-3.5
7937,CH2NH2,CC1=NC(=CC=C1)C,-2.9875751100001486,-3.5
7938,NHNH2 ,CC1=CN=CC(=N1)C,-5.874121110000109,-11.2
7947,CH2CH2CH3,CC1=CC(=CC(=C1)C)C,-2.171812109999821,-3.1
7948,CH(OH)Me ,CC1=CC(=CC(=C1)O)C,3.4130268899994247,1.0
7949,NHEt ,CC1=CC(=CC(=C1)N)C,-5.497615109999872,-11.4
7953,NHEt ,CC1=CC(=NC(=C1)C)C,-5.497615109999872,-11.4
7961,Br ,C1=CC=C(C=C1)Br,9.49987388999973,7.6
7963,NH2,CC1=CC=NC=C1,-3.2385791100006784,-9.0
7964,Cl,C1=CC=C(C=C1)Cl,9.31162089000017,7.0
7969,SH,C1=CC=C(C=C1)S,2.597263890000211,1.5
7970,NH2,CC1=CN=CC=C1,-3.2385791100006784,-9.0
7975,NH2,CC1=CC=CC=N1,-3.2385791100006784,-9.0
8128,NHNH2 ,C(CCC#N)CC#N,-5.874121110000109,-11.2
8321,CH=CHCOC6H4-4NO2,COC1=C2C(=C(C=C1)N)C(=O)C3=CC=CC=C3C2=O,13.20218289000002,14.4
8348,COOC6H5,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2O,7.80559688999922,10.0
8368,CHCl2,CC1=C(C=CC=C1Cl)Cl,9.813628890000112,10.0
8373,COOMe ,CC1=CC=CC=C1C(=O)O,6.04856888999997,8.2
8375,COOMe ,CC(=O)C1=CC=CC=C1O,6.04856888999997,8.2
8376,C(NO2)3 ,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],23.556097889999297,25.1
8404,cyclobutyl ,C1CCC2=CC=CC=C2C1,-2.736571110000734,-3.9
8405,CH=CHCN ,C1=CC=C2C=NC=CC2=C1,13.20218289000002,13.9
